Timestamp,Log Level,Log Source,Log Type,Log Severity,Log Message,Source IP,Destination IP,User,Error Code,Session ID,Label,Log Source Type,Log Action,Log Component,User Role,Log Duration,Log Process,Log Event,Error Type,Session Duration,User Activity
2024-10-21 14:20:36,WARNING,Server-6,Security,Medium,Blocked IP Connection failed,8.213.89.183,141.100.193.65,user-90,ERR-SO2,SESSION-391,,Firewall,Error,Packet Filter Authentication,Admin,0:00:06,Connection Establishment,,IP Spoofing,0:04:45,Login
2024-11-11 09:44:15,INFO,Server-2,Access,Medium,User login User login,226.73.177.129,136.247.233.34,user-99,ERR-HE1,SESSION-919,,Server,Access,Authentication Authentication,User,0:00:10,Login,,Connection Timeout,0:04:03,Database Connection Establishment
2024-12-01 10:31:09,WARNING,Server-10,Access,Medium,Connection failed User login,182.102.163.35,156.94.134.99,user-74,ERR-YKD,SESSION-450,,Server,Access,Packet Filter Packet Filter,User,0:00:08,Connection Establishment,,Connection Timeout,0:02:23,Database Connection Establishment
2024-10-10 07:24:58,DEBUG,Server-3,Access,Medium,Connection failed Connection failed,17.102.70.169,209.200.229.90,user-93,ERR-8B6,SESSION-334,,Database,Access,Connection Packet Filter,Admin,0:00:01,Login,,IP Spoofing,0:04:00,Blocking Suspicious Traffic
2024-01-29 22:56:42,ERROR,Server-1,Security,Medium,Connection failed User login,155.62.119.176,202.20.247.180,user-86,ERR-HUT,SESSION-880,,Database,Error,Packet Filter Connection,Admin,0:00:03,Connection Establishment,,IP Spoofing,0:01:29,Database Connection Establishment
2024-09-19 14:53:22,DEBUG,Server-8,Security,High,Connection failed User login,123.175.48.14,217.73.15.104,user-50,ERR-OQ9,SESSION-532,,Server,Block,Connection Packet Filter,User,0:00:04,Login,,Database Error,0:00:24,Blocking Suspicious Traffic
2024-04-07 00:35:04,INFO,Server-5,Error,Medium,User login User login,26.206.119.244,97.34.12.51,user-52,ERR-J12,SESSION-369,,Server,Access,Authentication Authentication,Admin,0:00:05,Connection Establishment,,Database Error,0:02:31,Database Connection Establishment
2024-09-23 14:23:59,INFO,Server-7,Error,Medium,Blocked IP Blocked IP,234.104.54.26,73.85.190.68,user-70,ERR-0D5,SESSION-526,,Firewall,Access,Packet Filter Connection,Admin,0:00:01,Filtering,,Connection Timeout,0:02:01,Login
2024-07-19 10:53:41,WARNING,Server-6,Error,High,User login Blocked IP,147.11.72.52,197.172.170.214,user-75,ERR-E32,SESSION-660,,Firewall,Error,Packet Filter Connection,User,0:00:07,Login,,Connection Timeout,0:01:23,Login
2024-01-25 19:20:32,INFO,Server-2,Security,High,Blocked IP User login,84.223.235.94,148.158.20.169,user-86,ERR-MID,SESSION-790,,Database,Access,Connection Connection,User,0:00:07,Connection Establishment,,Connection Timeout,0:02:19,Blocking Suspicious Traffic
2024-04-14 23:43:50,ERROR,Server-9,Security,Low,Connection failed User login,21.169.211.182,238.44.211.36,user-74,ERR-1ZK,SESSION-143,,Firewall,Block,Connection Packet Filter,User,0:00:06,Login,,Connection Timeout,0:03:47,Database Connection Establishment
2024-12-25 13:16:50,DEBUG,Server-6,Error,Medium,Connection failed User login,226.7.46.96,17.41.233.197,user-90,ERR-NXS,SESSION-929,,Database,Block,Packet Filter Packet Filter,User,0:00:08,Filtering,,Connection Timeout,0:01:42,Blocking Suspicious Traffic
2024-05-16 17:46:53,WARNING,Server-9,Error,Low,Connection failed Connection failed,197.66.156.215,67.144.220.24,user-72,ERR-BH9,SESSION-540,,Database,Block,Authentication Authentication,Admin,0:00:06,Connection Establishment,,Connection Timeout,0:02:02,Blocking Suspicious Traffic
2024-11-24 01:40:05,DEBUG,Server-9,Security,Low,Connection failed Blocked IP,166.241.9.14,58.126.117.72,user-94,ERR-1U8,SESSION-882,,Database,Access,Authentication Packet Filter,User,0:00:10,Connection Establishment,,Database Error,0:00:16,Login
2024-10-25 00:43:38,DEBUG,Server-9,Error,Low,Connection failed Blocked IP,182.127.175.123,135.102.115.194,user-23,ERR-JRT,SESSION-424,,Firewall,Error,Connection Authentication,User,0:00:10,Connection Establishment,,IP Spoofing,0:02:58,Login
2024-04-15 23:11:06,ERROR,Server-6,Access,Medium,User login Connection failed,228.27.217.153,147.248.213.33,user-8,ERR-0UD,SESSION-765,,Firewall,Access,Packet Filter Packet Filter,User,0:00:07,Login,,Connection Timeout,0:03:54,Login
2024-03-28 18:40:24,ERROR,Server-5,Security,Low,User login User login,97.142.119.193,234.3.130.73,user-98,ERR-WM7,SESSION-084,,Server,Error,Packet Filter Packet Filter,User,0:00:03,Connection Establishment,,IP Spoofing,0:03:41,Blocking Suspicious Traffic
2024-11-29 10:53:24,ERROR,Server-5,Security,Low,Blocked IP User login,23.212.247.43,57.121.70.45,user-74,ERR-PL1,SESSION-280,,Firewall,Block,Connection Packet Filter,User,0:00:08,Login,,Connection Timeout,0:03:35,Database Connection Establishment
2024-11-23 05:54:55,ERROR,Server-1,Access,High,Connection failed Connection failed,237.124.204.3,8.149.154.211,user-19,ERR-7OR,SESSION-633,,Firewall,Access,Authentication Authentication,Admin,0:00:07,Connection Establishment,,Database Error,0:02:19,Login
2024-12-15 02:50:07,DEBUG,Server-1,Error,Medium,Blocked IP Connection failed,114.105.182.197,11.132.3.244,user-44,ERR-RTH,SESSION-029,,Firewall,Error,Authentication Packet Filter,Admin,0:00:10,Connection Establishment,,Database Error,0:01:16,Login
2024-01-19 11:51:54,INFO,Server-7,Access,High,Connection failed Blocked IP,171.76.122.235,252.200.241.67,user-54,ERR-A5L,SESSION-714,,Database,Error,Packet Filter Connection,Admin,0:00:07,Login,,Database Error,0:02:47,Login
2024-05-01 11:44:15,DEBUG,Server-3,Error,Medium,Blocked IP Blocked IP,117.166.113.132,192.160.238.26,user-29,ERR-YY8,SESSION-748,,Server,Access,Connection Authentication,Admin,0:00:03,Connection Establishment,,IP Spoofing,0:04:33,Blocking Suspicious Traffic
2024-02-15 11:44:20,WARNING,Server-6,Security,Medium,User login Connection failed,84.166.214.156,20.82.134.203,user-11,ERR-SZP,SESSION-151,,Server,Block,Packet Filter Connection,User,0:00:03,Filtering,,Connection Timeout,0:04:11,Login
2024-06-19 16:52:06,INFO,Server-9,Access,High,Blocked IP Blocked IP,158.109.105.11,222.149.16.75,user-64,ERR-KKZ,SESSION-359,,Firewall,Block,Packet Filter Authentication,User,0:00:01,Connection Establishment,,Database Error,0:00:40,Blocking Suspicious Traffic
2024-01-01 01:51:31,INFO,Server-4,Error,High,User login User login,241.87.241.114,151.216.157.146,user-29,ERR-662,SESSION-313,,Database,Block,Connection Packet Filter,Admin,0:00:03,Connection Establishment,,Connection Timeout,0:01:40,Database Connection Establishment
2024-02-04 01:53:35,WARNING,Server-1,Security,High,User login Blocked IP,21.174.143.0,96.150.151.110,user-79,ERR-PUM,SESSION-011,,Database,Error,Authentication Connection,Admin,0:00:07,Filtering,,IP Spoofing,0:03:58,Database Connection Establishment
2024-03-15 04:39:49,INFO,Server-9,Error,Low,Blocked IP Blocked IP,67.126.125.113,10.149.255.174,user-99,ERR-431,SESSION-738,,Firewall,Error,Authentication Connection,Admin,0:00:10,Connection Establishment,,Database Error,0:01:07,Database Connection Establishment
2024-10-26 22:42:45,INFO,Server-7,Access,Medium,Connection failed Connection failed,141.70.242.144,58.175.15.30,user-43,ERR-NTW,SESSION-486,,Server,Error,Connection Authentication,User,0:00:03,Filtering,,Connection Timeout,0:03:49,Blocking Suspicious Traffic
2024-08-27 04:06:19,WARNING,Server-6,Access,Low,User login Blocked IP,101.52.115.229,212.149.128.159,user-12,ERR-QCB,SESSION-870,,Firewall,Block,Packet Filter Connection,User,0:00:01,Login,,Connection Timeout,0:00:33,Login
